epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2807.54,0.49919,0.3401,0.85687,0.96249,0.95866,0.98722,0.92109,0.39359,0.27108,0.82292,0.005842,0.005842,0.005842
44,2889.96,0.49372,0.33304,0.85653,0.97995,0.95115,0.98827,0.91884,0.39759,0.26323,0.82142,0.005743,0.005743,0.005743
45,2972.38,0.48998,0.33066,0.85512,0.97308,0.95115,0.98749,0.91854,0.39444,0.26448,0.82098,0.005644,0.005644,0.005644
46,3058.32,0.49152,0.33078,0.85389,0.96579,0.96092,0.98817,0.92604,0.3887,0.26275,0.81669,0.005545,0.005545,0.005545
47,3145.36,0.48772,0.32961,0.85447,0.96107,0.96552,0.98813,0.924,0.3883,0.25702,0.81802,0.005446,0.005446,0.005446
48,3235.81,0.48229,0.32395,0.8519,0.97098,0.96141,0.98937,0.92533,0.38631,0.25761,0.81741,0.005347,0.005347,0.005347
49,3326.57,0.47594,0.31766,0.85157,0.97315,0.95632,0.98884,0.92715,0.38313,0.25706,0.81919,0.005248,0.005248,0.005248
50,3423.73,0.48377,0.31947,0.85531,0.96973,0.96494,0.98883,0.92917,0.37499,0.25472,0.81576,0.005149,0.005149,0.005149
51,3514.48,0.47669,0.31947,0.85273,0.96978,0.95918,0.98946,0.92812,0.38198,0.25455,0.81669,0.00505,0.00505,0.00505
52,3603.18,0.47499,0.31873,0.85321,0.96498,0.9659,0.9891,0.92902,0.37643,0.25135,0.81543,0.004951,0.004951,0.004951
53,3695.71,0.47625,0.31699,0.85239,0.96609,0.96379,0.98984,0.93081,0.3765,0.2502,0.81701,0.004852,0.004852,0.004852
54,3980.97,0.47361,0.31637,0.85352,0.97207,0.95995,0.98871,0.92966,0.37619,0.25014,0.81694,0.004753,0.004753,0.004753
55,4050.97,0.46949,0.31125,0.85036,0.97038,0.96207,0.98877,0.93187,0.37315,0.24524,0.81525,0.004654,0.004654,0.004654
56,4125.25,0.4656,0.30683,0.8516,0.97322,0.96059,0.98901,0.93162,0.37271,0.24573,0.81574,0.004555,0.004555,0.004555
57,4178.81,0.46795,0.3115,0.85352,0.96463,0.96667,0.98938,0.93003,0.37684,0.24667,0.81657,0.004456,0.004456,0.004456
58,4232.41,0.45966,0.30457,0.8477,0.96341,0.96667,0.9897,0.93369,0.37211,0.24429,0.81706,0.004357,0.004357,0.004357
59,4286.3,0.45724,0.30334,0.84777,0.95653,0.97368,0.98959,0.93296,0.36641,0.24361,0.81422,0.004258,0.004258,0.004258
60,4340.02,0.45753,0.3028,0.8469,0.97376,0.9592,0.99012,0.93561,0.36595,0.24192,0.81422,0.004159,0.004159,0.004159
61,4393.59,0.45727,0.29996,0.84445,0.97057,0.96664,0.98979,0.93668,0.36481,0.23775,0.81387,0.00406,0.00406,0.00406
62,4447.04,0.45242,0.29852,0.84629,0.97659,0.95898,0.98919,0.93278,0.36906,0.2369,0.81474,0.003961,0.003961,0.003961
63,4500.5,0.44722,0.29408,0.84531,0.97451,0.96552,0.98933,0.93357,0.36694,0.23712,0.8125,0.003862,0.003862,0.003862
64,4554.56,0.44991,0.29618,0.84597,0.97346,0.96322,0.9899,0.93671,0.36311,0.23331,0.81217,0.003763,0.003763,0.003763
65,4608.37,0.4469,0.29276,0.84459,0.97193,0.96207,0.98988,0.93663,0.3616,0.23266,0.81073,0.003664,0.003664,0.003664
66,4661.99,0.44326,0.28763,0.84409,0.96703,0.96782,0.99019,0.93837,0.35697,0.2325,0.80966,0.003565,0.003565,0.003565
67,4715.75,0.44281,0.29087,0.84165,0.96602,0.96897,0.99009,0.9347,0.35668,0.23187,0.81098,0.003466,0.003466,0.003466
68,4769.44,0.43926,0.28401,0.84392,0.97485,0.95807,0.9898,0.93779,0.35555,0.23153,0.81021,0.003367,0.003367,0.003367
69,4823.03,0.43745,0.2858,0.84113,0.96425,0.96782,0.98803,0.93623,0.35878,0.23194,0.81339,0.003268,0.003268,0.003268
70,4876.97,0.438,0.28398,0.84385,0.96771,0.96466,0.98996,0.93715,0.35779,0.23042,0.81128,0.003169,0.003169,0.003169
71,4930.56,0.43284,0.28227,0.83852,0.97413,0.95977,0.99034,0.93756,0.3567,0.22866,0.81164,0.00307,0.00307,0.00307
72,4984.53,0.43352,0.27792,0.84431,0.96525,0.96897,0.99009,0.93751,0.35833,0.23093,0.81367,0.002971,0.002971,0.002971
73,5038.14,0.43081,0.28062,0.84072,0.97159,0.96207,0.99023,0.9376,0.3571,0.23115,0.81119,0.002872,0.002872,0.002872
74,5091.72,0.42352,0.27393,0.83895,0.97219,0.96434,0.99001,0.93656,0.35515,0.22823,0.81095,0.002773,0.002773,0.002773
75,5145.36,0.42215,0.27221,0.83895,0.9727,0.96227,0.99008,0.93806,0.35314,0.22987,0.8103,0.002674,0.002674,0.002674
76,5198.72,0.42353,0.27146,0.83955,0.97126,0.96609,0.99028,0.94088,0.35362,0.2269,0.81129,0.002575,0.002575,0.002575
77,5253.01,0.42288,0.27306,0.84006,0.97716,0.95805,0.98898,0.93934,0.35169,0.22547,0.80984,0.002476,0.002476,0.002476
78,5306.68,0.41748,0.269,0.83645,0.97381,0.96092,0.99047,0.93997,0.3498,0.22226,0.80995,0.002377,0.002377,0.002377
79,5360.45,0.41703,0.26545,0.83629,0.96618,0.96881,0.99046,0.94013,0.34985,0.22555,0.8094,0.002278,0.002278,0.002278
80,5414.01,0.41538,0.26746,0.83573,0.96442,0.97011,0.9908,0.94146,0.34961,0.2244,0.80867,0.002179,0.002179,0.002179
81,5467.69,0.40799,0.25979,0.83635,0.97329,0.96034,0.99066,0.94133,0.34774,0.22055,0.80926,0.00208,0.00208,0.00208
82,5521.32,0.409,0.26141,0.83514,0.96498,0.96603,0.99035,0.94136,0.34695,0.22303,0.80884,0.001981,0.001981,0.001981
